datetime,symbol,exch,spot,bid,ask,hv_cc_30D,hv_zh_30D,catm_30D,patm_30D,vix_30D,mrtn_30D,skew_30D,q_min,q_max,gex,vex,gamma_flip,hv_zh_5D,hv_cc_5D,lamda,mu_j,sig_j,q,r,volume,volume10D,open,high,low,hv_hl_30D,hv_hl_5D
2023-03-23 11:38:00,XOM,NYSE,106.095,106.08,106.11,0.2918166193262205,0.3490349755746432,0.3104110039893686,0.2708397108102319,0.3016515101211152,0.2874499132039884,110.56827206517184,0.2821212647292849,0.3220116574743862,16.448177977674433,-0.7525168622344005,100.59795492348556,0.4928037186841079,0.2527606172274308,13.363636363636363,0.0096084695597938,0.0226132915463251,0.03394206,0.0452,3430910,24273410,105.36,106.3399,105.09,0.4732911932618091,0.5286403213904767
2023-03-23 16:53:00,XOM,NYSE,103.41,103.41,103.41,0.2821020098486957,0.3518627142969541,0.3329711185245875,0.305782023745323,0.3302776620012982,0.3147313420371035,108.07569184414396,0.3066064904341768,0.3475377674680865,2.592512212707985,-0.2901333077122665,102.06976528535446,0.4570934753060698,0.2620447498472115,13.363636363678404,0.0097229605421376,0.0226000322144087,0.03394206,0.04503,11705266,24273410,105.36,106.34,102.44,0.476508391604764,0.5330663086206545
2023-03-24 11:47:00,XOM,NYSE,101.91,101.89,101.93,0.2821020098486957,0.3518627142969541,0.3871291551972252,0.2931347611679141,0.3422026793899653,0.3378642299740071,109.73868607612344,0.3281236386792358,0.3699210466716455,-15.190822368806344,-0.2227131133229446,97.30838048872602,0.4570934753060698,0.2620447498472115,13.363636363636363,0.0097229605421376,0.0226000322143844,0.034329366,0.044630003,4872515,24415290,101.47,102.72,100.92,0.476508391604764,0.5330663086206545
2023-03-27 14:06:00,XOM,NYSE,105.965,105.95,105.98,0.2889784560480165,0.3552288736581626,0.2910177963279564,0.2790931784175812,0.3035709669784642,0.2881483169903882,109.8515660636163,0.2835458600372474,0.320783218691431,19.370351321151464,-0.6292339581582532,102.76833586204178,0.4638509788685555,0.2983347411123037,13.363636372554438,0.0097661104008886,0.0226373585452165,0.034289576,0.04583,7124449,24176980,104.74,106.08,103.92,0.4797567519959075,0.5362036955395926
2023-03-28 10:00:00,XOM,NYSE,106.555,106.555,106.555,0.2887753360573419,0.3562419482158253,0.3228575722311258,0.2953473779474276,0.3168158971049749,0.300176355102729,110.3885547347515,0.2942117954945094,0.3323242724388572,23.180713283997708,-0.6678693566227949,99.90106058917314,0.4775899446259849,0.2354805406953573,13.363636363637989,0.0097772220496557,0.0226376262221972,0.033553872,0.046330004,1357608,23581200,105.44,106.79,105.19,0.4812842541174515,0.5218471694794112
2023-03-28 14:00:00,XOM,NYSE,106.99,106.99,106.99,0.2887753360573419,0.3562419482158253,0.3230026833884353,0.2981848964238575,0.3127712287876789,0.2976782883287905,109.2138103030508,0.29196535068269,0.3300399838678763,28.001290305479852,-0.6818428617119641,103.19088556532952,0.4775899446259849,0.2354805406953573,13.363636363636363,0.0097772220496568,0.0226376262221949,0.033553872,0.04628,6487368,23581200,105.44,107.6488,105.19,0.4812842541174515,0.5218471694794112
2023-03-29 10:00:00,XOM,NYSE,108.0,107.97,108.03,0.2652616552758479,0.349021691177682,0.3166914479991118,0.2747049368790337,0.2991182991520616,0.2855934915560881,111.31097645589745,0.2802778347880385,0.3180157692419634,32.38824987223089,-0.4769355466967862,104.18271014177192,0.3474757368936663,0.2041075645277959,13.363636364014008,0.0097578976768722,0.0226302140975922,0.033140402,0.04625,1446614,22859970,108.06,108.385,107.5,0.4671901939402547,0.4383392598986778
2023-03-29 14:12:00,XOM,NYSE,108.335,108.33,108.34,0.2652616552758479,0.349021691177682,0.3165106354547192,0.2733122039193816,0.297593368482114,0.2826660356122888,110.97922594568035,0.2778107247363341,0.316689642941257,36.29420722615364,-0.4455996456060148,104.37666888466734,0.3474757368936663,0.2041075645277959,13.363636363985266,0.0097578976768722,0.0226302140975789,0.033140402,0.0463,6213439,22859970,108.06,108.83,107.5,0.4671901939402547,0.4383392598986778
2023-03-30 10:00:00,XOM,NYSE,109.17,109.17,109.17,0.2677259695702109,0.3464954187523636,0.2996168378477413,0.2692565735788725,0.2907438114386265,0.2744870307070028,110.11071927419697,0.2698206620634116,0.3079641502522573,45.32841063285679,-0.3288391038620457,105.37892612740472,0.3164199610176805,0.2372317643621869,13.36363636432765,0.0094720222231936,0.022645707214898,0.032580763,0.0464799999999999,1415145,21709790,109.55,109.57,108.7701,0.4636684773989418,0.4229824671941576
2023-03-30 14:00:00,XOM,NYSE,109.145,109.145,109.145,0.2677259695702109,0.3464954187523636,0.2946307373802977,0.2723594769434614,0.2895662485612829,0.2715422845281914,109.8095320423637,0.2671659274228581,0.3050287930482654,45.8240722750197,-0.33523160228859,105.17866205583276,0.3164199610176805,0.2372317643621869,13.363636363636363,0.0094720222231936,0.0226457072149544,0.032580763,0.0466,5953773,21709790,109.55,109.57,108.52,0.4636684773989418,0.4229824671941576
